Station.No	Location	Date	Hour	API	Pollutant
41	Banting	2013-08-15	5	52	*
41	Banting	2013-08-15	6	51	*
41	Banting	2013-08-15	7	50	*
41	Banting	2013-08-15	8	49	*
41	Banting	2013-08-15	9	48	*
41	Banting	2013-08-15	10	48	*
41	Banting	2013-08-15	11	48	*
41	Banting	2013-08-15	12	49	*
41	Banting	2013-08-15	13	49	*
41	Banting	2013-08-15	14	50	*
41	Banting	2013-08-15	15	50	*
41	Banting	2013-08-15	16	50	*
41	Banting	2013-08-15	17	50	*
41	Banting	2013-08-15	18	50	*
41	Banting	2013-08-15	19	49	*
41	Banting	2013-08-15	20	48	*
41	Banting	2013-08-15	21	47	*
41	Banting	2013-08-15	22	45	*
41	Banting	2013-08-15	23	44	*
41	Banting	2013-08-15	24	44	*
41	Banting	2013-08-16	1	44	*
41	Banting	2013-08-16	2	45	*
41	Banting	2013-08-16	3	45	*
41	Banting	2013-08-16	4	45	*
41	Banting	2013-08-16	5	46	*
41	Banting	2013-08-16	6	47	*
41	Banting	2013-08-16	7	47	*
41	Banting	2013-08-16	8	49	*
41	Banting	2013-08-16	9	51	*
41	Banting	2013-08-16	10	51	*
41	Banting	2013-08-16	11	51	*
41	Banting	2013-08-16	12	51	*
41	Banting	2013-08-16	13	51	*
41	Banting	2013-08-16	14	51	*
41	Banting	2013-08-16	15	51	*
41	Banting	2013-08-16	16	51	*
41	Banting	2013-08-16	17	51	*
41	Banting	2013-08-16	18	51	*
41	Banting	2013-08-16	19	51	*
41	Banting	2013-08-16	20	51	*
41	Banting	2013-08-16	21	0	0
41	Banting	2013-08-16	22	52	*
41	Banting	2013-08-16	23	53	*
41	Banting	2013-08-16	24	54	*
41	Banting	2013-08-17	1	54	*
41	Banting	2013-08-17	2	54	*
41	Banting	2013-08-17	3	54	*
41	Banting	2013-08-17	4	54	*
41	Banting	2013-08-17	5	54	*
41	Banting	2013-08-17	6	54	*
41	Banting	2013-08-17	7	54	*
41	Banting	2013-08-17	8	53	*
41	Banting	2013-08-17	9	51	*
41	Banting	2013-08-17	10	51	*
41	Banting	2013-08-17	11	52	*
41	Banting	2013-08-17	12	51	*
41	Banting	2013-08-17	13	51	*
41	Banting	2013-08-17	14	51	*
41	Banting	2013-08-17	15	51	*
41	Banting	2013-08-17	16	56	c
41	Banting	2013-08-17	17	54	c
41	Banting	2013-08-17	18	58	c
41	Banting	2013-08-17	19	51	*
41	Banting	2013-08-17	20	50	*
41	Banting	2013-08-17	21	48	*
41	Banting	2013-08-17	22	47	*
41	Banting	2013-08-17	23	46	*
41	Banting	2013-08-17	24	45	*
41	Banting	2013-08-18	1	46	*
41	Banting	2013-08-18	2	47	*
41	Banting	2013-08-18	3	48	*
41	Banting	2013-08-18	4	51	*
41	Banting	2013-08-18	5	52	*
41	Banting	2013-08-18	6	53	*
41	Banting	2013-08-18	7	53	*
41	Banting	2013-08-18	8	52	*
41	Banting	2013-08-18	9	52	*
41	Banting	2013-08-18	10	52	*
41	Banting	2013-08-18	11	51	*
41	Banting	2013-08-18	12	51	*
41	Banting	2013-08-18	13	49	*
41	Banting	2013-08-18	14	55	c
41	Banting	2013-08-18	15	50	c
41	Banting	2013-08-18	16	48	*
41	Banting	2013-08-18	17	48	*
41	Banting	2013-08-18	18	47	*
41	Banting	2013-08-18	19	47	*
41	Banting	2013-08-18	20	48	*
41	Banting	2013-08-18	21	49	*
41	Banting	2013-08-18	22	50	*
41	Banting	2013-08-18	23	50	*
41	Banting	2013-08-18	24	50	*
41	Banting	2013-08-19	1	50	*
41	Banting	2013-08-19	2	50	*
41	Banting	2013-08-19	3	50	*
41	Banting	2013-08-19	4	46	*
41	Banting	2013-08-19	5	45	*
41	Banting	2013-08-19	6	43	*
41	Banting	2013-08-19	7	44	*
41	Banting	2013-08-19	8	45	*
41	Banting	2013-08-19	9	48	*
41	Banting	2013-08-19	10	50	*
41	Banting	2013-08-19	11	52	*
41	Banting	2013-08-19	12	52	*
41	Banting	2013-08-19	13	52	*
41	Banting	2013-08-19	14	52	*
41	Banting	2013-08-19	15	51	*
41	Banting	2013-08-19	16	51	*
41	Banting	2013-08-19	17	51	*
41	Banting	2013-08-19	18	51	*
41	Banting	2013-08-19	19	51	*
41	Banting	2013-08-19	20	50	*
41	Banting	2013-08-19	21	50	*
41	Banting	2013-08-19	22	49	*
41	Banting	2013-08-19	23	47	*
41	Banting	2013-08-19	24	46	*
41	Banting	2013-08-20	1	45	*
41	Banting	2013-08-20	2	44	*
41	Banting	2013-08-20	3	42	*
41	Banting	2013-08-20	4	41	*
41	Banting	2013-08-20	5	40	*
41	Banting	2013-08-20	6	40	*
41	Banting	2013-08-20	7	39	*
41	Banting	2013-08-20	8	39	*
41	Banting	2013-08-20	9	37	*
41	Banting	2013-08-20	10	36	*
41	Banting	2013-08-20	11	33	*
41	Banting	2013-08-20	12	40	*
41	Banting	2013-08-20	13	42	*
41	Banting	2013-08-20	14	53	c
41	Banting	2013-08-20	15	45	c
41	Banting	2013-08-20	16	63	c
41	Banting	2013-08-20	17	62	c
41	Banting	2013-08-20	18	65	c
41	Banting	2013-08-20	19	46	*
41	Banting	2013-08-20	20	46	*
41	Banting	2013-08-20	21	45	*
41	Banting	2013-08-20	22	45	*
41	Banting	2013-08-20	23	46	*
41	Banting	2013-08-20	24	45	*
41	Banting	2013-08-21	1	47	*
41	Banting	2013-08-21	2	47	*
41	Banting	2013-08-21	3	48	*
41	Banting	2013-08-21	4	50	*
41	Banting	2013-08-21	5	50	*
41	Banting	2013-08-21	6	50	*
41	Banting	2013-08-21	7	51	*
41	Banting	2013-08-21	8	51	*
41	Banting	2013-08-21	9	51	*
41	Banting	2013-08-21	10	51	*
41	Banting	2013-08-21	11	51	*
41	Banting	2013-08-21	12	47	*
41	Banting	2013-08-21	13	46	*
41	Banting	2013-08-21	14	48	c
41	Banting	2013-08-21	15	46	c
41	Banting	2013-08-21	16	52	c
41	Banting	2013-08-21	17	46	c
41	Banting	2013-08-21	18	48	c
41	Banting	2013-08-21	19	47	*
41	Banting	2013-08-21	20	48	*
41	Banting	2013-08-21	21	51	*
41	Banting	2013-08-21	22	52	*
41	Banting	2013-08-21	23	53	*
41	Banting	2013-08-21	24	54	*
41	Banting	2013-08-22	1	54	*
41	Banting	2013-08-22	2	55	*
41	Banting	2013-08-22	3	0	0
41	Banting	2013-08-22	4	55	*
41	Banting	2013-08-22	5	56	*
41	Banting	2013-08-22	6	0	0
41	Banting	2013-08-22	7	0	0
41	Banting	2013-08-22	8	0	0
41	Banting	2013-08-22	9	0	0
41	Banting	2013-08-22	10	0	0
41	Banting	2013-08-22	11	0	0
41	Banting	2013-08-22	12	0	0
41	Banting	2013-08-22	13	56	*
41	Banting	2013-08-22	14	56	*
41	Banting	2013-08-22	15	56	*
41	Banting	2013-08-22	16	56	*
41	Banting	2013-08-22	17	56	*
41	Banting	2013-08-22	18	56	*
41	Banting	2013-08-22	19	0	0
41	Banting	2013-08-22	20	56	*
41	Banting	2013-08-22	21	55	*
41	Banting	2013-08-22	22	55	*
41	Banting	2013-08-22	23	54	*
41	Banting	2013-08-22	24	54	*
41	Banting	2013-08-23	1	54	*
41	Banting	2013-08-23	2	53	*
41	Banting	2013-08-23	3	53	*
41	Banting	2013-08-23	4	53	*
41	Banting	2013-08-23	5	52	*
41	Banting	2013-08-23	6	52	*
41	Banting	2013-08-23	7	51	*
41	Banting	2013-08-23	8	0	0
41	Banting	2013-08-23	9	0	0
41	Banting	2013-08-23	10	51	*
41	Banting	2013-08-23	11	51	*
41	Banting	2013-08-23	12	0	0
41	Banting	2013-08-23	13	50	*
41	Banting	2013-08-23	14	49	*
41	Banting	2013-08-23	15	49	*
41	Banting	2013-08-23	16	48	*
41	Banting	2013-08-23	17	47	*
41	Banting	2013-08-23	18	47	*
41	Banting	2013-08-23	19	47	*
41	Banting	2013-08-23	20	46	*
41	Banting	2013-08-23	21	46	*
41	Banting	2013-08-23	22	46	*
41	Banting	2013-08-23	23	47	*
41	Banting	2013-08-23	24	47	*
41	Banting	2013-08-24	1	47	*
41	Banting	2013-08-24	2	47	*
41	Banting	2013-08-24	3	47	*
41	Banting	2013-08-24	4	46	*
41	Banting	2013-08-24	5	45	*
41	Banting	2013-08-24	6	46	*
41	Banting	2013-08-24	7	48	*
41	Banting	2013-08-24	8	50	*
41	Banting	2013-08-24	9	51	*
41	Banting	2013-08-24	10	52	*
41	Banting	2013-08-24	11	53	*
41	Banting	2013-08-24	12	54	*
41	Banting	2013-08-24	13	54	*
41	Banting	2013-08-24	14	55	*
41	Banting	2013-08-24	15	55	*
41	Banting	2013-08-24	16	56	*
41	Banting	2013-08-24	17	62	c
41	Banting	2013-08-24	18	57	*
41	Banting	2013-08-24	19	57	*
41	Banting	2013-08-24	20	58	*
41	Banting	2013-08-24	21	58	*
41	Banting	2013-08-24	22	58	*
41	Banting	2013-08-24	23	58	*
41	Banting	2013-08-24	24	58	*
41	Banting	2013-08-25	1	58	*
41	Banting	2013-08-25	2	59	*
41	Banting	2013-08-25	3	59	*
41	Banting	2013-08-25	4	58	*
41	Banting	2013-08-25	5	58	*
41	Banting	2013-08-25	6	58	*
41	Banting	2013-08-25	7	58	*
41	Banting	2013-08-25	8	58	*
41	Banting	2013-08-25	9	57	*
41	Banting	2013-08-25	10	57	*
41	Banting	2013-08-25	11	57	*
41	Banting	2013-08-25	12	58	*
41	Banting	2013-08-25	13	57	*
41	Banting	2013-08-25	14	58	*
41	Banting	2013-08-25	15	58	*
41	Banting	2013-08-25	16	57	*
41	Banting	2013-08-25	17	57	*
41	Banting	2013-08-25	18	57	*
41	Banting	2013-08-25	19	57	*
41	Banting	2013-08-25	20	57	*
41	Banting	2013-08-25	21	58	*
41	Banting	2013-08-25	22	58	*
41	Banting	2013-08-25	23	59	*
41	Banting	2013-08-25	24	59	*
41	Banting	2013-08-26	1	59	*
41	Banting	2013-08-26	2	59	*
41	Banting	2013-08-26	3	60	*
41	Banting	2013-08-26	4	60	*
41	Banting	2013-08-26	5	60	*
41	Banting	2013-08-26	6	61	*
41	Banting	2013-08-26	7	60	*
41	Banting	2013-08-26	8	60	*
41	Banting	2013-08-26	9	60	*
41	Banting	2013-08-26	10	60	*
41	Banting	2013-08-26	11	59	*
41	Banting	2013-08-26	12	59	*
41	Banting	2013-08-26	13	59	*
41	Banting	2013-08-26	14	59	*
41	Banting	2013-08-26	15	59	*
41	Banting	2013-08-26	16	59	*
41	Banting	2013-08-26	17	59	*
41	Banting	2013-08-26	18	59	*
41	Banting	2013-08-26	19	59	*
41	Banting	2013-08-26	20	59	*
41	Banting	2013-08-26	21	59	*
41	Banting	2013-08-26	22	58	*
41	Banting	2013-08-26	23	57	*
41	Banting	2013-08-26	24	57	*
41	Banting	2013-08-27	1	56	*
41	Banting	2013-08-27	2	55	*
41	Banting	2013-08-27	3	55	*
41	Banting	2013-08-27	4	54	*
41	Banting	2013-08-27	5	54	*
41	Banting	2013-08-27	6	53	*
41	Banting	2013-08-27	7	53	*
41	Banting	2013-08-27	8	53	*
41	Banting	2013-08-27	9	53	*
41	Banting	2013-08-27	10	54	*
41	Banting	2013-08-27	11	54	*
41	Banting	2013-08-27	12	54	*
41	Banting	2013-08-27	13	54	*
41	Banting	2013-08-27	14	54	*
41	Banting	2013-08-27	15	0	0
41	Banting	2013-08-27	16	55	*
41	Banting	2013-08-27	17	55	*
41	Banting	2013-08-27	18	55	*
41	Banting	2013-08-27	19	56	*
41	Banting	2013-08-27	20	56	*
41	Banting	2013-08-27	21	58	*
41	Banting	2013-08-27	22	59	*
41	Banting	2013-08-27	23	60	*
41	Banting	2013-08-27	24	61	*
41	Banting	2013-08-28	1	63	*
41	Banting	2013-08-28	2	63	*
41	Banting	2013-08-28	3	64	*
41	Banting	2013-08-28	4	65	*
41	Banting	2013-08-28	5	66	*
41	Banting	2013-08-28	6	66	*
41	Banting	2013-08-28	7	67	*
41	Banting	2013-08-28	8	68	*
41	Banting	2013-08-28	9	68	*
41	Banting	2013-08-28	10	68	*
41	Banting	2013-08-28	11	68	*
41	Banting	2013-08-28	12	68	*
41	Banting	2013-08-28	13	69	*
41	Banting	2013-08-28	14	70	*
41	Banting	2013-08-28	15	70	*
41	Banting	2013-08-28	16	70	*
41	Banting	2013-08-28	17	70	*
41	Banting	2013-08-28	18	71	*
41	Banting	2013-08-28	19	71	*
41	Banting	2013-08-28	20	72	*
41	Banting	2013-08-28	21	72	*
41	Banting	2013-08-28	22	72	*
41	Banting	2013-08-28	23	72	*
41	Banting	2013-08-28	24	73	*
41	Banting	2013-08-29	1	72	*
41	Banting	2013-08-29	2	71	*
41	Banting	2013-08-29	3	71	*
41	Banting	2013-08-29	4	71	*
41	Banting	2013-08-29	5	72	*
41	Banting	2013-08-29	6	72	*
41	Banting	2013-08-29	7	72	*
41	Banting	2013-08-29	8	71	*
41	Banting	2013-08-29	9	70	*
41	Banting	2013-08-29	10	70	*
41	Banting	2013-08-29	11	69	*
41	Banting	2013-08-29	12	69	*
41	Banting	2013-08-29	13	68	*
41	Banting	2013-08-29	14	68	*
41	Banting	2013-08-29	15	68	*
41	Banting	2013-08-29	16	67	*
41	Banting	2013-08-29	17	67	*
41	Banting	2013-08-29	18	66	*
41	Banting	2013-08-29	19	65	*
41	Banting	2013-08-29	20	64	*
41	Banting	2013-08-29	21	63	*
41	Banting	2013-08-29	22	63	*
41	Banting	2013-08-29	23	62	*
41	Banting	2013-08-29	24	61	*
41	Banting	2013-08-30	1	62	*
41	Banting	2013-08-30	2	62	*
41	Banting	2013-08-30	3	63	*
41	Banting	2013-08-30	4	63	*
41	Banting	2013-08-30	5	62	*
41	Banting	2013-08-30	6	62	*
41	Banting	2013-08-30	7	62	*
41	Banting	2013-08-30	8	64	*
41	Banting	2013-08-30	9	65	*
41	Banting	2013-08-30	10	67	*
41	Banting	2013-08-30	11	68	*
41	Banting	2013-08-30	12	69	*
41	Banting	2013-08-30	13	70	*
41	Banting	2013-08-30	14	70	*
41	Banting	2013-08-30	15	70	*
41	Banting	2013-08-30	16	70	*
41	Banting	2013-08-30	17	70	*
41	Banting	2013-08-30	18	70	*
41	Banting	2013-08-30	19	70	*
41	Banting	2013-08-30	20	71	*
41	Banting	2013-08-30	21	71	*
41	Banting	2013-08-30	22	70	*
41	Banting	2013-08-30	23	70	*
41	Banting	2013-08-30	24	70	*
41	Banting	2013-08-31	1	69	*
41	Banting	2013-08-31	2	69	*
41	Banting	2013-08-31	3	68	*
41	Banting	2013-08-31	4	68	*
41	Banting	2013-08-31	5	67	*
41	Banting	2013-08-31	6	67	*
41	Banting	2013-08-31	7	66	*
41	Banting	2013-08-31	8	66	*
41	Banting	2013-08-31	9	66	*
41	Banting	2013-08-31	10	66	*
41	Banting	2013-08-31	11	66	*
41	Banting	2013-08-31	12	65	*
41	Banting	2013-08-31	13	66	c
41	Banting	2013-08-31	14	76	c
